Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
Tibet,Asia,t,2020,NF,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,3,N/A,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,1
Timor-Leste,Asia,c,2020,F,2,3,4,4,3,11,4,4,3,3,14,3,2,2,7,0,N/A,32,3,3,4,4,14,3,3,2,8,2,1,3,2,8,3,2,2,2,9,39,71
Togo,SSA,c,2020,PF,5,4,2,2,1,5,2,1,1,2,6,2,1,2,5,0,N/A,16,2,3,2,2,9,1,2,3,6,2,1,2,1,6,2,2,1,2,7,28,44
Tonga,Asia,c,2020,F,2,2,3,3,3,9,4,4,3,3,14,3,2,2,7,0,N/A,30,2,4,4,4,14,4,3,3,10,3,3,3,3,12,4,3,3,3,13,49,79
Transnistria,Eurasia,t,2020,NF,6,6,1,1,1,3,1,1,1,1,4,1,0,1,2,0,N/A,9,0,2,1,2,5,0,1,0,1,0,0,1,1,2,2,1,1,1,5,13,22
Trinidad and Tobago,Americas,c,2020,F,2,2,4,4,3,11,3,4,3,3,13,4,2,3,9,0,N/A,33,4,4,4,4,16,4,4,3,11,3,2,2,2,9,4,3,3,3,13,49,82
Tunisia,MENA,c,2020,F,2,3,4,4,4,12,4,4,3,3,14,3,1,2,6,0,N/A,32,2,3,3,4,12,2,2,3,7,2,2,3,2,9,3,2,3,2,10,38,70
Turkey,Europe,c,2020,NF,5,6,2,2,1,5,2,2,3,1,8,2,1,0,3,0,N/A,16,1,2,1,1,5,1,1,1,3,1,0,1,1,3,1,1,2,1,5,16,32
Turkmenistan,Eurasia,c,2020,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2
Tuvalu,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,3,3,3,13,56,93
Uganda,SSA,c,2020,NF,6,5,1,1,1,3,1,1,1,2,5,1,1,1,3,0,N/A,11,1,3,2,2,8,1,1,2,4,1,1,1,1,4,3,2,1,1,7,23,34
Ukraine,Eurasia,c,2020,PF,3,3,4,3,2,9,3,4,2,3,12,3,1,2,6,0,N/A,27,2,3,3,3,11,2,2,3,7,1,2,2,2,7,3,2,3,2,10,35,62
United Arab Emirates,MENA,c,2020,NF,7,6,0,1,0,1,0,0,1,1,2,0,2,0,2,0,N/A,5,0,1,1,1,3,1,0,1,2,0,1,1,1,3,1,1,1,1,4,12,17
United Kingdom,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,3,4,4,11,0,N/A,39,4,4,3,3,14,4,4,4,12,4,4,3,3,14,4,4,4,3,15,55,94
United States,Americas,c,2020,F,2,1,3,4,3,10,4,4,3,3,14,3,3,3,9,0,N/A,33,4,4,4,4,16,4,4,3,11,3,3,3,2,11,4,4,4,3,15,53,86
Uruguay,Americas,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,4,4,4,4,16,4,4,4,12,4,3,4,4,15,4,4,4,3,15,58,98
Uzbekistan,Eurasia,c,2020,NF,7,6,0,0,1,1,0,0,0,0,0,0,0,1,1,0,N/A,2,0,0,1,1,2,0,1,0,1,0,0,1,0,1,1,1,1,1,4,8,10
Vanuatu,Asia,c,2020,F,2,2,3,4,3,10,4,4,4,3,15,3,2,3,8,0,N/A,33,2,4,4,4,14,4,4,3,11,4,3,3,3,13,4,3,2,2,11,49,82
Venezuela,Americas,c,2020,NF,7,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,N/A,2,1,3,1,1,6,0,1,1,2,0,0,0,1,1,2,1,2,0,5,14,16
Vietnam,Asia,c,2020,NF,7,5,0,0,0,0,0,0,0,1,1,0,1,1,2,0,N/A,3,1,1,1,1,4,1,0,0,1,1,1,1,1,4,2,1,3,2,8,17,20
West Bank,MENA,t,2020,NF,7,5,0,0,1,1,1,0,1,2,4,0,1,1,2,3,N/A,4,1,2,2,2,7,1,2,2,5,2,1,0,1,4,1,1,2,1,5,21,25
Western Sahara,MENA,t,2020,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,N/A,-3,0,2,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,0,4,7,4
Yemen,MENA,c,2020,NF,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,N/A,1,0,1,1,1,3,1,1,1,3,1,0,0,1,2,0,1,1,0,2,10,11
Zambia,SSA,c,2020,PF,4,4,2,2,2,6,2,2,3,3,10,2,2,2,6,0,N/A,22,1,3,3,2,9,2,2,3,7,2,2,2,2,8,3,2,2,1,8,32,54
Zimbabwe,SSA,c,2020,PF,5,5,1,1,1,3,2,2,1,1,6,1,1,1,3,0,N/A,12,1,3,2,1,7,1,1,1,3,1,0,0,1,2,2,1,1,1,5,17,29
